Samsung,UN75MU8000FXZA,4.6,122
Samsung,QN65Q7FAMFXZA,4.7,135
Sony,XBR75X900E,4.8,128
Samsung,UN65MU9000FXZA,4.7,107
Samsung,UN65MU7000FXZA,4.7,158
Samsung,UN75MU9000FXZA,4.9,9
VIZIO,E43-E2,4.5,72
LG,75UJ6470,4.4,17
VIZIO,E65-E1,4.4,463
VIZIO,E70-E3,4.5,773
Sony,KD49X720E,4.3,12
VIZIO,E50-E3/E50-E1,4.3,949
VIZIO,E50-E3/E50-E1,4.3,949
Sony,"",4,1
Sony,"",4,2
TCL,49S405,4.7,71
VIZIO,M65-E0,4.6,77
VIZIO,M50-E1,4.6,39
Samsung,UN82MU8000FXZA,4.7,14
Sony,XBR49X800E,4.6,215
Sony,XBR55X930E,4.9,72
LG,OLED65B7A,4.7,12
Samsung,QN75Q8CAMFXZA,4.2,13
LG,OLED55B7A,4.8,22
Sony,XBR65X930E,4.7,129
LG,OLED65G7P,4.8,8
VIZIO,M75-E1,5,1
Samsung,QN65Q8CAMFXZA,4.6,10
Hisense,50H8C,4.6,1106
Sony,XBR65Z9D,4.9,49
Hisense,65H8C,4.6,248
Hisense,43H7C,4.4,470
Sony,XBR85X850D,4.4,48
VIZIO,E75-E3,4.5,13
Insignia™,NS-55DR710NA17,4.5,1127
Samsung,QN55Q8CAMFXZA,4.7,7
Samsung,UN75KS9000FXZA,4.6,40
Samsung,UN55KU7000FXZA,4.6,774
Samsung,QN75Q9FAMFXZA,5,2
Samsung,UN40MU7000FXZA,4.8,61
Westinghouse,WE55UC4200,3.8,127
TCL,"","",""
LG,60UH7700,4.6,703
Toshiba,55L421U,4.4,1255
Toshiba,55L711U18,4.4,13
LG,OLED77G7P,"",""
Sony,XBR77A1E,"",""
Toshiba,50L711U18,4.7,13
Sony,BDVE3100,4.3,795
LG,OLED77W7P,3,2
LG,OLED65W7P,3.2,5
ZTE,MF97G,4.5,111
Miroir,M300A,4.4,22
Peerless,SR560M,4.5,8
Microsoft,234-00105,4.7,504
Microsoft,234-00033,4.8,1573
Epson,EPSON HOME CINEMA 1450 V11H836,4.7,10
Microsoft,ZQ9-00317,4,4
Microsoft,ZQ9-00028,4.7,2841
Microsoft,234-00055,4.7,2889
Westinghouse,WD48FAB100,"",""
Samsung,UBD-M8500/ZA,4.7,123
Samsung,UBD-M9500/ZA,4.4,30
Sony,UBPX800,4.7,880
Panasonic,DMP-UB900,4.8,152
Logitech,915-000194,4.3,2210
The,"",4.6,2635
Tablo,SPVR401NA,4.1,52
Homeward,"",4.8,147
Denon,AVR-X1300W,4.6,197
Samsung,BD-J6300/ZA,4.6,2143
LG,BP350,4.3,1584
Actiontec,MWTV2KIT01,4.1,850
Roku,3600R,4.6,7256
Google,NC2-6A5-D,4.6,1173
Sony,BDP-S3700,4.6,4072
Roku,"","",""
Roku,"","",""
TiVo,TCD849500V2,4.5,287
Saban's,A051535,4.5,683
Samsung,BD-J5100/ZA,4.4,4737
Samsung,BD-J5700/ZA,4.3,6933
Optoma,HD27,4.8,40
HDHomeRun,HDHR4-2US,4.5,52
