Search Rank,Brand,Model,Rating,Number of Ratings
92,Samsung,QN75Q7FAMFXZA,4.7,46
93,LG,OLED65E7P,4.8,19
94,LG,55SJ8500,4.6,20
95,Sony,XBR65A1E,4.9,80
96,Sony,XBR75X940E,4.4,52
97,Samsung,QN65Q7CAMFXZA,4.9,35
98,Samsung,QN55Q7CAMFXZA,4.8,24
99,LG,65SJ9500,4.6,18
100,Samsung,UN75MU6300FXZA,4.7,29
101,Sony,XBR49X900E,4.7,153
102,Samsung,UN75MU8000FXZA,4.6,122
103,Samsung,UN65MU7500FXZA,4.9,68
104,Sony,XBR75X900E,4.8,132
105,Samsung,QN65Q7FAMFXZA,4.7,136
106,Samsung,UN65MU7000FXZA,4.7,159
107,Samsung,UN65MU9000FXZA,4.8,108
108,LG,75UJ6470,4.4,17
109,Samsung,UN55MU9000FXZA,4.8,57
110,Samsung,UN82MU8000FXZA,4.7,14
111,VIZIO,E43-E2,4.5,73
112,VIZIO,E65-E1,4.4,466
113,Sony,KD49X720E,4.3,12
114,VIZIO,E50-E3/E50-E1,4.3,950
115,Sony,XBR85X850D,4.4,48
116,Sony,"",4,1
117,Sony,"",4,2
118,Insignia™,NS-24ER310NA17,4.4,1205
119,VIZIO,M65-E0,4.6,77
120,Sony,XBR55X930E,4.9,73
121,Sony,"",4,2
122,TCL,49S405,4.7,74
123,Insignia™,NS-55DR710NA17,4.5,1127
124,VIZIO,M65-E0,4.6,77
125,Sony,XBR55X930E,4.9,73
126,Sony,XBR49X800E,4.6,219
127,Samsung,UN75MU9000FXZA,4.9,9
128,LG,OLED65B7A,4.7,13
129,Samsung,QN75Q8CAMFXZA,4.2,13
130,LG,OLED55B7A,4.8,22
131,LG,OLED65G7P,4.8,8
132,Sony,XBR65X930E,4.7,130
133,VIZIO,M75-E1,3,2
134,Samsung,UN40MU7000FXZA,4.8,61
135,Samsung,QN55Q8CAMFXZA,4.7,7
136,Sony,XBR65Z9D,4.9,49
137,Hisense,50H8C,4.6,1107
138,Samsung,QN65Q8CAMFXZA,4.6,10
139,VIZIO,E60-E3,4.3,90
140,Hisense,43H7C,4.4,472
141,Hisense,65H8C,4.6,248
142,VIZIO,E75-E3,4.5,13
143,Samsung,UN55KU7000FXZA,4.6,774
144,Samsung,QN75Q9FAMFXZA,5,2
145,Westinghouse,WE55UC4200,3.8,127
146,Toshiba,55L421U,4.4,1256
147,LG,OLED77G7P,"",""
148,Sony,XBR77A1E,"",""
149,Toshiba,50L711U18,4.7,13
150,Toshiba,55L711U18,4.4,14
151,LG,60UH7700,4.6,704
152,Samsung,UN40MU7000FXZA,4.8,61
153,LG,OLED77W7P,3,2
154,LG,OLED65W7P,3.2,5
155,Westinghouse,WD48FAB100,"",""
156,Samsung,UN28M4500AFXZA,5,2
157,Samsung,UN32M5300AFXZA,4,6
158,Samsung,UN32M4500AFXZA,5,1
159,VIZIO,D48F-E0,5,1
160,Samsung,UN24M4500AFXZA,"",""
161,VIZIO,D24H-E1,"",""
162,Sony,KD43X720E,4.6,27
163,Sony,KD55X720E,4.9,23
164,VIZIO,E70-E3,4.4,775
165,TCL,55P605,4.6,123
166,Samsung,UN55LS003AFXZA,4.4,7
167,VIZIO,M55-E0,4.8,35
168,VIZIO,M50-E1,4.6,39
169,Sony,XBR-65X750D,4.7,1467
170,Sony,XBR43X800E,4.7,47
171,VIZIO,M55-D0,4.2,531
172,Hisense,55H8C,4.6,648
173,Sony,XBR75Z9D,4.8,45
174,Hisense,50H4D,"",""
175,VIZIO,D50F-E1,"",""
176,Sony,XBR-49X800D,4.7,1183
177,Samsung,UN65LS003AFXZA,3,2
178,TCL,43S405,"",""
179,Samsung,UN65KS9500FXZA,4.8,523
180,Samsung,UN88KS9810FXZA,5,1
181,Samsung,QN88Q9FAMFXZA,"",""
182,Samsung,UN40M5300AFXZA,"",""
183,Sony,XBR100Z9D,4.3,3
184,Samsung,UN19F4000AFXZA/UN19F4000BFXZA,4.6,586
